Date,Value
11/23/2015 16:00:00,54.25
11/24/2015 16:00:00,53.92
11/25/2015 16:00:00,54.09
11/27/2015 16:00:00,53.8
11/30/2015 16:00:00,54.54
12/1/2015 16:00:00,54.41
12/2/2015 16:00:00,55.32
12/3/2015 16:00:00,55.49
12/4/2015 16:00:00,54.12
12/7/2015 16:00:00,55.79
12/8/2015 16:00:00,55.47
12/9/2015 16:00:00,55.37
12/10/2015 16:00:00,55.39
12/11/2015 16:00:00,54.71
12/14/2015 16:00:00,54.33
12/15/2015 16:00:00,55.66
12/16/2015 16:00:00,55.54
12/17/2015 16:00:00,56.36
12/18/2015 16:00:00,55.77
12/21/2015 16:00:00,54.88
12/22/2015 16:00:00,54.99
12/23/2015 16:00:00,55.7
12/24/2015 16:00:00,55.86
12/28/2015 16:00:00,55.35
12/29/2015 16:00:00,56.29
12/30/2015 16:00:00,56.47
12/31/2015 16:00:00,56.04
1/4/2016 16:00:00,54.32
1/5/2016 16:00:00,54.93
1/6/2016 16:00:00,54.32
1/7/2016 16:00:00,52.7
1/8/2016 16:00:00,52.37
1/11/2016 16:00:00,52.51
1/12/2016 16:00:00,52.76
1/13/2016 16:00:00,53.8
1/14/2016 16:00:00,52.0
1/15/2016 16:00:00,51.31
1/19/2016 16:00:00,51.48
1/20/2016 16:00:00,49.98
1/21/2016 16:00:00,51.0
1/22/2016 16:00:00,51.41
1/25/2016 16:00:00,51.94
1/26/2016 16:00:00,51.79
1/27/2016 16:00:00,52.01
1/28/2016 16:00:00,51.86
1/29/2016 16:00:00,54.73
2/1/2016 16:00:00,54.88
2/2/2016 16:00:00,54.17
2/3/2016 16:00:00,53.25
2/4/2016 16:00:00,52.1
2/5/2016 16:00:00,51.94
2/8/2016 16:00:00,49.55
2/9/2016 16:00:00,49.02
2/10/2016 16:00:00,49.89
2/11/2016 16:00:00,48.68
2/12/2016 16:00:00,50.25
2/16/2016 16:00:00,50.9
2/17/2016 16:00:00,51.49
2/18/2016 16:00:00,52.33
2/19/2016 16:00:00,51.97
2/22/2016 16:00:00,52.28
2/23/2016 16:00:00,52.34
2/24/2016 16:00:00,50.69
2/25/2016 16:00:00,51.73
2/26/2016 16:00:00,52.6
2/29/2016 16:00:00,51.35
3/1/2016 16:00:00,50.97
3/2/2016 16:00:00,52.41
3/3/2016 16:00:00,52.97
3/4/2016 16:00:00,52.4
3/7/2016 16:00:00,51.56
3/8/2016 16:00:00,50.8
3/9/2016 16:00:00,51.89
3/10/2016 16:00:00,52.93
3/11/2016 16:00:00,53.0
3/14/2016 16:00:00,52.71
3/15/2016 16:00:00,52.75
3/16/2016 16:00:00,53.45
3/17/2016 16:00:00,54.21
3/18/2016 16:00:00,54.92
3/21/2016 16:00:00,53.25
3/22/2016 16:00:00,53.61
3/23/2016 16:00:00,54.11
3/24/2016 16:00:00,53.84
3/28/2016 16:00:00,54.21
3/29/2016 16:00:00,53.66
3/30/2016 16:00:00,54.93
3/31/2016 16:00:00,54.95
4/1/2016 16:00:00,55.05
4/4/2016 16:00:00,55.43
4/5/2016 16:00:00,55.19
4/6/2016 16:00:00,54.36
4/7/2016 16:00:00,54.87
4/8/2016 16:00:00,54.67
4/11/2016 16:00:00,54.49
4/12/2016 16:00:00,54.37
4/13/2016 16:00:00,55.12
4/14/2016 16:00:00,55.22
4/15/2016 16:00:00,55.3
4/18/2016 16:00:00,55.49
4/19/2016 16:00:00,56.63
4/20/2016 16:00:00,56.29
4/21/2016 16:00:00,55.8
4/22/2016 16:00:00,51.91
4/25/2016 16:00:00,51.78
4/26/2016 16:00:00,52.26
4/27/2016 16:00:00,51.48
4/28/2016 16:00:00,50.62
4/29/2016 16:00:00,49.35
5/2/2016 16:00:00,50.0
5/3/2016 16:00:00,50.34
5/4/2016 16:00:00,49.84
5/5/2016 16:00:00,49.87
5/6/2016 16:00:00,49.92
5/9/2016 16:00:00,50.49
5/10/2016 16:00:00,50.33
5/11/2016 16:00:00,51.13
5/12/2016 16:00:00,51.2
5/13/2016 16:00:00,51.44
5/16/2016 16:00:00,50.8
5/17/2016 16:00:00,51.72
5/18/2016 16:00:00,50.48
5/19/2016 16:00:00,50.47
5/20/2016 16:00:00,50.48
5/23/2016 16:00:00,50.6
5/24/2016 16:00:00,50.7
5/25/2016 16:00:00,51.92
5/26/2016 16:00:00,51.93
5/27/2016 16:00:00,51.92
5/31/2016 16:00:00,52.26
6/1/2016 16:00:00,52.44
6/2/2016 16:00:00,52.64
6/3/2016 16:00:00,52.38
6/6/2016 16:00:00,51.99
6/7/2016 16:00:00,52.24
6/8/2016 16:00:00,52.02
6/9/2016 16:00:00,52.0
6/10/2016 16:00:00,51.05
6/13/2016 16:00:00,49.58
6/14/2016 16:00:00,49.9
6/15/2016 16:00:00,49.78
6/16/2016 16:00:00,49.52
6/17/2016 16:00:00,50.41
6/20/2016 16:00:00,50.64
6/21/2016 16:00:00,50.2
6/22/2016 16:00:00,51.08
6/23/2016 16:00:00,51.28
6/24/2016 16:00:00,49.81
6/27/2016 16:00:00,49.1
6/28/2016 16:00:00,48.92
6/29/2016 16:00:00,49.91
6/30/2016 16:00:00,50.72
7/1/2016 16:00:00,51.13
7/5/2016 16:00:00,50.83
7/6/2016 16:00:00,50.78
7/7/2016 16:00:00,51.42
7/8/2016 16:00:00,51.73
7/11/2016 16:00:00,52.5
7/12/2016 16:00:00,52.94
7/13/2016 16:00:00,53.56
7/14/2016 16:00:00,53.84
7/15/2016 16:00:00,53.95
7/18/2016 16:00:00,53.7
7/19/2016 16:00:00,53.71
7/20/2016 16:00:00,56.15
7/21/2016 16:00:00,55.98
7/22/2016 16:00:00,56.08
7/25/2016 16:00:00,56.47
7/26/2016 16:00:00,56.52
7/27/2016 16:00:00,56.61
7/28/2016 16:00:00,56.0
7/29/2016 16:00:00,56.26
8/1/2016 16:00:00,56.6
8/2/2016 16:00:00,56.85
8/3/2016 16:00:00,56.68
8/4/2016 16:00:00,56.8
8/5/2016 16:00:00,57.65
8/8/2016 16:00:00,58.06
8/9/2016 16:00:00,58.17
8/10/2016 16:00:00,58.16
8/11/2016 16:00:00,58.03
8/12/2016 16:00:00,58.03
8/15/2016 16:00:00,58.01
8/16/2016 16:00:00,57.61
8/17/2016 16:00:00,57.54
8/18/2016 16:00:00,57.42
8/19/2016 16:00:00,57.43
8/22/2016 16:00:00,57.6
8/23/2016 16:00:00,57.9
8/24/2016 16:00:00,57.8
8/25/2016 16:00:00,57.88
8/26/2016 16:00:00,58.28
8/29/2016 16:00:00,58.18
8/30/2016 16:00:00,57.98
8/31/2016 16:00:00,57.65
9/1/2016 16:00:00,57.01
9/2/2016 16:00:00,57.67
9/6/2016 16:00:00,57.78
9/7/2016 16:00:00,57.47
9/8/2016 16:00:00,57.63
9/9/2016 16:00:00,56.79
9/12/2016 16:00:00,56.0
9/13/2016 16:00:00,56.5
9/14/2016 16:00:00,56.39
9/15/2016 16:00:00,56.15
9/16/2016 16:00:00,57.63
9/19/2016 16:00:00,57.27
9/20/2016 16:00:00,57.35
9/21/2016 16:00:00,57.51
9/22/2016 16:00:00,57.92
9/23/2016 16:00:00,57.87
9/26/2016 16:00:00,57.08
9/27/2016 16:00:00,56.93
9/28/2016 16:00:00,57.88
9/29/2016 16:00:00,57.81
9/30/2016 16:00:00,57.57
10/3/2016 16:00:00,57.41
10/4/2016 16:00:00,57.27
10/5/2016 16:00:00,57.29
10/6/2016 16:00:00,57.74
10/7/2016 16:00:00,57.85
10/10/2016 16:00:00,57.91
10/11/2016 16:00:00,57.89
10/12/2016 16:00:00,57.11
10/13/2016 16:00:00,56.7
10/14/2016 16:00:00,57.12
10/17/2016 16:00:00,57.36
10/18/2016 16:00:00,57.53
10/19/2016 16:00:00,57.47
10/20/2016 16:00:00,57.5
10/21/2016 16:00:00,60.28
10/24/2016 16:00:00,59.94
10/25/2016 16:00:00,60.85
10/26/2016 16:00:00,60.81
10/27/2016 16:00:00,60.61
10/28/2016 16:00:00,60.01
10/31/2016 16:00:00,60.16
11/1/2016 16:00:00,59.97
11/2/2016 16:00:00,59.82
11/3/2016 16:00:00,59.53
11/4/2016 16:00:00,58.65
